job0	9	4	749	0	0
job1	22	13	122	0	0
job2	32	10	136	0	0
job3	44	12	4677	0	0
job4	53	9	183823063	0	0
job5	57	4	400933	0	0
job6	63	6	900	0	0
job7	66	3	2223327	0	0
job8	67	1	37441976	0	0
job9	83	16	21414951	0	0
job10	83	0	21414951	0	0
job11	84	1	24223272	0	0
job12	84	0	21414951	0	0
job13	84	0	22743010	0	0
job14	85	1	21414951	0	0
job15	85	0	22505124	0	0
job16	86	1	20868990	0	0
job17	104	18	4341755	0	0
job18	108	4	1808583	0	0
job19	110	2	941433822	0	0
job20	111	1	501739	0	0
job21	111	0	24940	0	0
job22	117	6	721737214	0	0
job23	117	0	44763659	0	0
job24	117	0	721737214	0	0
job25	118	1	727221827	0	0
job26	118	0	721737214	0	0
job27	119	1	73328640	0	0
job28	119	0	38496298	0	0
job29	124	5	749614057	0	0
job30	126	2	135	0	0
job31	129	3	1	0	0
job32	142	13	719728520	0	0
job33	146	4	7561	0	0
job34	147	1	17289912	0	0
job35	155	8	946637	0	0
job36	156	1	268979	0	0
job37	160	4	721737214	0	0
job38	160	0	1	0	0
job39	162	2	726241670	0	0
job40	163	1	55558494	0	0
job41	168	5	750190006	0	0
job42	174	6	8017885	0	0
job43	186	12	97062160	0	0
job44	186	0	105	0	0
job45	189	3	9323	0	0
job46	202	13	187921897	0	0
job47	202	0	183986043	0	0
job48	203	1	183986043	0	0
job49	204	1	182334328	0	0
job50	204	0	24223272	0	0
job51	205	1	187214305	0	0
job52	205	0	183986043	0	0
job53	205	0	183986043	0	0
job54	213	8	117	0	0
job55	215	2	416136702	0	0
job56	217	2	95295	0	0
job57	222	5	749	0	0
job58	224	2	4233153	0	0
job59	226	2	92597	0	0
job60	227	1	17054545	0	0
job61	229	2	21748828	0	0
job62	233	4	640898044	0	0
job63	237	4	78780991	0	0
job64	243	6	128220599	0	0
job65	250	7	62284029	0	0
job66	258	8	100	0	0
job67	260	2	181591678	0	0
job68	275	15	900	0	0
job69	282	7	8496812	0	0
job70	289	7	3634459	0	0
job71	292	3	135	0	0
job72	304	12	8408	0	0
job73	324	20	46539587	0	0
job74	325	1	702439454	0	0
job75	329	4	895107333	0	0
job76	330	1	263333409	0	0
job77	345	15	183984589	0	0
job78	353	8	3343	0	0
job79	358	5	800566	0	0
job80	369	11	1	0	0
job81	375	6	749	0	0
job82	375	0	24223272	0	0
job83	376	1	721595715	0	0
job84	376	0	716001086	0	0
job85	377	1	716001086	0	0
job86	377	0	713446431	0	0
job87	377	0	716001086	0	0
job88	377	0	722813758	0	0
job89	378	1	716001086	0	0
job90	381	3	217764926	0	0
